bankCode,branchCode,branchName
01,340,KAREN WATERFRONT PLATINUM
01,341,KCB NGONG BRANCH
01,325,GARDEN CITY
01,326,JKIA
01,327,MAKUTANO
01,330,KCB NEXTGEN
01,331,KCB MOGOTIO
01,329,TWO RIVERS
01,332,KCB UPPERHILL PLATINUM
01,337,KCB KILIMANI PLATINUM
01,339,KCB UTAWALA
01,302,DIASPORA
01,303,KISII WEST
01,304,MBITA
01,305,SORI
01,306,HURLINGHAM
01,307,KIBERA
01,308,THIKA ROAD MALL BRANCH
01,309,KASARANI BRANCH
01,310,KCB MAASAI MARA
01,311,KCB KABARTONJO
01,312,KCB ELDORET EAST
01,313,KIKIM
01,314,KCB JKUAT
01,315,KCB CHANGAMWE
01,316,KCB MAKONGENI
01,317,KCB SYOKIMAU
01,318,KCB MOI REFERRAL HOSPITAL
01,319,KCB KITALE ADVANTAGE
01,320,KCB LAVINGTON
01,322,KCB RIVERSIDE ADVANTAGE
01,323,KCB GIGIRI SQUARE
01,324,KAYOLE
01,214,GATUNDU
01,215,EMALI
01,216,ISIOLO
01,217,KCB FLAMINGO
01,218,NJORO
01,219,MUTOMO
01,220,MARIAKANI
01,221,MPEKETONI
01,222,MTITU ANDEI
01,223,MTWAPA
01,224,TAVETA
01,225,KENGELENI
01,226,GARSEN
01,227,WATAMU
01,228,BONDO
01,229,BUSIA
01,230,HOMA BAY
01,231,KAPSOWAR
01,232,KEHANCHA
01,233,KEROKA
01,234,KILGORIS
01,235,KIMILILI
01,236,LITEIN
01,237,LONDIANI BRANCH
01,238,LUANDA
01,239,MALABA
01,240,MUHORONI
01,241,OYUGIS
01,242,UGUNJA
01,243,UNITED MALL
01,244,SEREM
01,245,SONDU
01,246,KISUMU WEST
01,247,MARIGAT
01,248,MOIS BRIDGE
01,249,MASHARIKI
01,250,NARO MORO
01,251,KIRIAINI
01,252,EGERTON UNIVERSITY
01,253,MAUA
01,254,KAWANGARE
01,255,KIMATHI
01,256,NAMANGA
01,288,HAILE SELASSIE
01,289,SALAMA HOUSE MORTGAGE CENTRE
01,290,GARDEN PLAZA
01,291,SARIT CENTRE MORTGAGE CENTRE
01,292,CPC BULK CORPORATE CHEQUES
01,293,TRADE SERVICES
01,295,NAIROBI HIGH COURT
01,296,MOMBASA HIGH COURT
01,297,KISUMU AIRPORT
01,298,PORT VICTORIA
01,300,NYALI
01,301,WESTGATE ADVANTAGE
01,287,KISAUNI
01,257,GIKOMBA
01,258,KWALE
01,259,PRESTIGE PLAZA
01,260,KARIOBANGI
01,263,BIASHARA STREET
01,266,NGARA
01,267,KYUSO
01,270,MASII
01,271,MENENGAI CRATER
01,272,TOWN CENTRE
01,278,MAKINDU
01,283,RONGO
01,284,ISIBANIA
01,285,KISERIAN
01,286,MWEMBE TAYARI
01,342,IMARA DAIMA
01,343,TAKABA TOWN
01,163,ELDAMA RAVINE
01,164,KIBWEZI
01,166,KAPSABET
01,167,UNIVERSITY WAY
01,168,KCB ELDORET WEST
01,169,GARISSA
01,124,MUMIAS
01,125,NANYUKI
01,127,MOYALE
01,129,KIKUYU
01,130,TALA
01,131,KAJIADO
01,133,KCB CUSTODY SERVICES
01,134,MATUU
01,135,KITUI
01,136,MVITA
01,137,JOGOO RD NAIROBI
01,139,CARD CENTRE
01,140,MARSABIT
01,141,SARIT CENTRE
01,142,LOITOKITOK
01,143,NANDI HILLS
01,144,LODWAR
01,145,UN GIGIRI
01,146,HOLA
01,147,RUIRU
01,148,MWINGI
01,149,KITALE
01,150,MANDERA
01,151,KAPENGURIA
01,152,KABARNET
01,153,WAJIR
01,154,MARALAL
01,155,LIMURU
01,157,UKUNDA
01,158,ITEN
01,159,GILGIL
01,161,ONGATA RONGAI
01,162,KITENGELA
01,338,KCB LANGATA
01,344,KCB RUMURUTI BRANCH
01,091,EASTLEIGH
01,092,KCB CPC
01,094,HEAD OFFICE
01,095,WOTE
01,096,HEAD OFFICE FINANCE
01,100,MOI AVENUE NAIROBI
01,101,KIPANDE HOUSE
01,102,TREASURY SQ MOMBASA
01,103,NAKURU
01,104,KICC
01,105,KISUMU
01,106,KERICHO
01,107,TOM MBOYA
01,108,THIKA
01,109,ELDORET
01,110,KAKAMEGA
01,111,KILINDINI MOMBASA
01,112,NYERI
01,113,INDUSTRIAL AREA NAIROBI
